destination,source,balance
Spain,Djibouti,31847
Ethiopia,Djibouti,128555010
France,Djibouti,73029488
Gabon,Djibouti,8298
United Kingdom,Djibouti,18079
India,Djibouti,498383
Iraq,Djibouti,59411
Israel,Djibouti,39453
Italy,Djibouti,21567
Jordan,Djibouti,5532
Japan,Djibouti,923864
Kenya,Djibouti,7153547
Lebanon,Djibouti,194479
Libya,Djibouti,8298
Madagascar,Djibouti,60
Mexico,Djibouti,261049
Malawi,Djibouti,2766
Malaysia,Djibouti,5910
New Caledonia,Djibouti,553
Netherlands,Djibouti,496224
Norway,Djibouti,319
Pakistan,Djibouti,15190274
Philippines,Djibouti,251085
Portugal,Djibouti,5533
Qatar,Djibouti,22882962
Saudi Arabia,Djibouti,2855483
Senegal,Djibouti,13864
Somalia,Djibouti,43157044
Sweden,Djibouti,45964
Tunisia,Djibouti,18462
Turkey,Djibouti,179541
Tanzania,Djibouti,2839
Uganda,Djibouti,9455
Ukraine,Djibouti,4500
United States,Djibouti,1374226
Vietnam,Djibouti,1027
Yemen,Djibouti,12298477
South Africa,Djibouti,5341
Zambia,Djibouti,14646
Aruba,Dominica,37666
Anguilla,Dominica,132688
Andorra,Dominica,185
United Arab Emirates,Dominica,10063
Antigua and Barbuda,Dominica,2046754
Belgium,Dominica,495
Bahamas,Dominica,92369
Belize,Dominica,78855
Bermuda,Dominica,136
Brazil,Dominica,3754
Barbados,Dominica,2315472
Canada,Dominica,14181
Switzerland,Dominica,56
China,Dominica,19686
Colombia,Dominica,7790
Costa Rica,Dominica,6996
Cuba,Dominica,440
Curacao,Dominica,21559
Cayman Islands,Dominica,1498
Germany,Dominica,437375
Denmark,Dominica,146
Dominican Republic,Dominica,352
France,Dominica,3244555
Gabon,Dominica,1834
United Kingdom,Dominica,340065
Grenada,Dominica,196882
Greenland,Dominica,444
Guatemala,Dominica,7267
Guyana,Dominica,3523418
Hong Kong,Dominica,4025
Haiti,Dominica,446727
Italy,Dominica,2314
Jamaica,Dominica,6007212
St Kitts and Nevis,Dominica,5309330
South Korea,Dominica,21196
Saint Lucia,Dominica,945930
Montserrat,Dominica,69858
Netherlands,Dominica,25508
Pakistan,Dominica,16603
Panama,Dominica,6145
Poland,Dominica,403
Suriname,Dominica,654871
Slovenia,Dominica,275
Turks and Caicos Isds,Dominica,1348
Thailand,Dominica,83191
Trinidad And Tobago,Dominica,6941986
United States,Dominica,1557692
St Vincent and the Grenadines,Dominica,421055
Vietnam,Dominica,107777
Aruba,Denmark,834955
Afghanistan,Denmark,9351134
Angola,Denmark,12974715
Anguilla,Denmark,171525
Albania,Denmark,20488968
Andorra,Denmark,1182304
United Arab Emirates,Denmark,446399816
Argentina,Denmark,137750225
Armenia,Denmark,7405202
American Samoa,Denmark,263966
Antigua and Barbuda,Denmark,2088435
Australia,Denmark,896659745
Austria,Denmark,687087833
Azerbaijan,Denmark,14492102
Burundi,Denmark,2813612
Belgium,Denmark,1873674680
Benin,Denmark,3468642
Bonaire,Denmark,53379
Burkina Faso,Denmark,11033586
Bangladesh,Denmark,68152316
Bulgaria,Denmark,109167709
Bahrain,Denmark,27879002
Bahamas,Denmark,22911310
Bosnia And Herzegovina,Denmark,18565155
Saint Barthélemy,Denmark,532232
Belarus,Denmark,51081068
Belize,Denmark,3337385
Bermuda,Denmark,8750298
Bolivia,Denmark,7563243
Brazil,Denmark,387205478
Barbados,Denmark,3280607
Brunei,Denmark,3014728
Bhutan,Denmark,521324
Botswana,Denmark,540786
Central African Republic,Denmark,6349544
Canada,Denmark,499947877
Switzerland,Denmark,818666353
Chile,Denmark,153297524
China,Denmark,3803406025
Ivory Coast,Denmark,9548439
Cameroon,Denmark,4816033
Congo,Denmark,7563959
Republic of the Congo,Denmark,5730031
Cook Islands,Denmark,4206
Colombia,Denmark,50671239
Comoros,Denmark,658552
Cape Verde,Denmark,4454239
Costa Rica,Denmark,12882868
Cuba,Denmark,16161667
Curacao,Denmark,3135425
Cayman Islands,Denmark,1307487
Cyprus,Denmark,65937256
Czech Republic,Denmark,612470597
Germany,Denmark,15066491294
Djibouti,Denmark,7383672
Dominica,Denmark,577899
Dominican Republic,Denmark,71891855
Algeria,Denmark,52552834
Ecuador,Denmark,45507204
Egypt,Denmark,186431007
Eritrea,Denmark,565632
Spain,Denmark,1905753394
Estonia,Denmark,268967221
Ethiopia,Denmark,19036754
Finland,Denmark,1938751474
Fiji,Denmark,1696939
Falkland Islands,Denmark,28126
France,Denmark,3244281289
Faroe Islands,Denmark,649009535
FS Micronesia,Denmark,214655
Gabon,Denmark,11448871
United Kingdom,Denmark,6090728189
Georgia,Denmark,9952099
Ghana,Denmark,49997888
Gibraltar,Denmark,11482698
Guinea,Denmark,9553543
Gambia,Denmark,3985866
Guinea Bissau,Denmark,540708
Equatorial Guinea,Denmark,1061671
Greece,Denmark,508933379
Grenada,Denmark,1674057
Greenland,Denmark,518508400
Guatemala,Denmark,13614150
Guam,Denmark,3316043
Guyana,Denmark,3718161
Hong Kong,Denmark,423265976
Honduras,Denmark,7308286
Croatia,Denmark,102264490
Haiti,Denmark,1547751
Hungary,Denmark,507582555
Indonesia,Denmark,147333456
India,Denmark,471952438
Ireland,Denmark,706833019
Iran,Denmark,53443666
Iraq,Denmark,52888883
Iceland,Denmark,490067821
Israel,Denmark,161174479
Italy,Denmark,2330676259
Jamaica,Denmark,4673136
Jordan,Denmark,53680397
Japan,Denmark,1551855387
Kazakhstan,Denmark,30218615
Kenya,Denmark,30032587
Kyrgyzstan,Denmark,5339260
Cambodia,Denmark,221401684
Kiribati,Denmark,1072322
St Kitts and Nevis,Denmark,1466962
South Korea,Denmark,703620710
Kuwait,Denmark,77656253
Laos,Denmark,707861
Lebanon,Denmark,83145614
Liberia,Denmark,4753615
Libya,Denmark,30526716
Saint Lucia,Denmark,610770
Sri Lanka,Denmark,35119840
Lesotho,Denmark,440574
Lithuania,Denmark,460507050
Luxembourg,Denmark,81108477
Latvia,Denmark,273149451
Macau,Denmark,2265974
Morocco,Denmark,155648174
Moldova,Denmark,14388610
Madagascar,Denmark,3590614
Maldives,Denmark,5083331
Mexico,Denmark,357029658
Marshall Islands,Denmark,42780574
Macedonia,Denmark,10416280
Mali,Denmark,14573616
Malta,Denmark,88108896
Myanmar,Denmark,7007426
Montenegro,Denmark,3813394
Mongolia,Denmark,3167199
Northern Mariana Islands,Denmark,212152
Mozambique,Denmark,3441240
Mauritania,Denmark,3254263
Montserrat,Denmark,7051
Mauritius,Denmark,11460537
Malawi,Denmark,1738372
Malaysia,Denmark,226637193
Namibia,Denmark,12417051
New Caledonia,Denmark,6829518
Niger,Denmark,4777855
Nigeria,Denmark,75464236
Nicaragua,Denmark,4193918
Netherlands,Denmark,5357043768
Norway,Denmark,6372629375
Nepal,Denmark,5040561
Nauru,Denmark,15782
New Zealand,Denmark,125560538
Oman,Denmark,125487284
Pakistan,Denmark,63605654
Panama,Denmark,49006563
Pitcairn Islands,Denmark,233
Peru,Denmark,47288741
Philippines,Denmark,146024299
Palau,Denmark,78302
Papua New Guinea,Denmark,8968507
Poland,Denmark,3370942337
Portugal,Denmark,308869976
Paraguay,Denmark,5896742
Palestine,Denmark,4889853
French Polynesia,Denmark,3341153
Qatar,Denmark,116358947
Romania,Denmark,293612791
Russia,Denmark,862855592
Rwanda,Denmark,1570267
Saudi Arabia,Denmark,520973039
Sudan,Denmark,11537851
Senegal,Denmark,45155170
Singapore,Denmark,617745068
Solomon Islands,Denmark,35099
Sierra Leone,Denmark,2270525
El Salvador,Denmark,10319303
San Marino,Denmark,747318
Somalia,Denmark,2248202
St Pierre and Miquelon,Denmark,24803
Serbia,Denmark,135432505
South Sudan,Denmark,3840961
Sao Tome And Principe,Denmark,77218
Suriname,Denmark,1825285
Slovakia,Denmark,266531071
Slovenia,Denmark,106835021
Sweden,Denmark,10848038040
Swaziland,Denmark,289830
Saint Maarten,Denmark,1303343
Seychelles,Denmark,6409284
Syria,Denmark,6700842
Turks and Caicos Isds,Denmark,2487061
Chad,Denmark,3182434
Togo,Denmark,2640452
Thailand,Denmark,445153362
Tajikistan,Denmark,922822
Tokelau,Denmark,30449
Turkmenistan,Denmark,1776458
Tonga,Denmark,18915
Trinidad And Tobago,Denmark,10811271
Tunisia,Denmark,23615896
Turkey,Denmark,936580643
Tanzania,Denmark,7294932
Uganda,Denmark,9969017
Ukraine,Denmark,319395842
United States Minor Outlying Islands,Denmark,1033
Uruguay,Denmark,32066124
United States,Denmark,5194240882
Uzbekistan,Denmark,23270473
Vatican City State,Denmark,3833
St Vincent and the Grenadines,Denmark,11892601
Venezuela,Denmark,3259014
Vietnam,Denmark,204514361
Vanuatu,Denmark,27894
Samoa,Denmark,51288
Yemen,Denmark,50193405
South Africa,Denmark,323708782
Zambia,Denmark,3347474
Zimbabwe,Denmark,6479555
Aruba,Dominican Republic,7149491
Afghanistan,Dominican Republic,2271
Angola,Dominican Republic,8937
Anguilla,Dominican Republic,591742
Albania,Dominican Republic,12150
Andorra,Dominican Republic,4068
United Arab Emirates,Dominican Republic,9421365
Argentina,Dominican Republic,1949718
Armenia,Dominican Republic,15652
Antigua and Barbuda,Dominican Republic,5198995
Australia,Dominican Republic,5357284
Austria,Dominican Republic,489987
Azerbaijan,Dominican Republic,144
Belgium,Dominican Republic,92272820
Bangladesh,Dominican Republic,2817348
Bulgaria,Dominican Republic,749924
Bahrain,Dominican Republic,60114
Bahamas,Dominican Republic,11229166
Bosnia And Herzegovina,Dominican Republic,58341
Saint Barthélemy,Dominican Republic,256029
Belarus,Dominican Republic,544477
Belize,Dominican Republic,1705766
Bermuda,Dominican Republic,184921
Bolivia,Dominican Republic,1450449
Brazil,Dominican Republic,5163531
Barbados,Dominican Republic,9346249
Brunei,Dominican Republic,2400
Central African Republic,Dominican Republic,3045
Canada,Dominican Republic,787909449
Switzerland,Dominican Republic,244593582
Chile,Dominican Republic,13112346
China,Dominican Republic,85780287
Ivory Coast,Dominican Republic,6700
Colombia,Dominican Republic,41074332
Costa Rica,Dominican Republic,43346602
Cuba,Dominican Republic,47254869
Curacao,Dominican Republic,12254852
Cayman Islands,Dominican Republic,1974744
Cyprus,Dominican Republic,210372
Czech Republic,Dominican Republic,2336344
Germany,Dominican Republic,91900734
Dominica,Dominican Republic,4671971
Denmark,Dominican Republic,6245467
Ecuador,Dominican Republic,23764954
Egypt,Dominican Republic,35300
Eritrea,Dominican Republic,130025
Spain,Dominican Republic,86639218
Estonia,Dominican Republic,784411
Ethiopia,Dominican Republic,4095
Finland,Dominican Republic,5350294
Falkland Islands,Dominican Republic,7006
France,Dominican Republic,40582215
United Kingdom,Dominican Republic,102347670
Georgia,Dominican Republic,19277
Ghana,Dominican Republic,93684
Guinea,Dominican Republic,620827
Equatorial Guinea,Dominican Republic,32920
Greece,Dominican Republic,1397015
Grenada,Dominican Republic,3790439
Guatemala,Dominican Republic,23004744
Guyana,Dominican Republic,15659405
Hong Kong,Dominican Republic,59210194
Honduras,Dominican Republic,29573981
Croatia,Dominican Republic,165561
Haiti,Dominican Republic,852525405
Hungary,Dominican Republic,60342
Indonesia,Dominican Republic,10038581
India,Dominican Republic,578299742
Ireland,Dominican Republic,2799527
Iran,Dominican Republic,3184
Iraq,Dominican Republic,5420
Iceland,Dominican Republic,4989
Israel,Dominican Republic,2811817
Italy,Dominican Republic,63654753
Jamaica,Dominican Republic,61217261
Jordan,Dominican Republic,6391
Japan,Dominican Republic,16794624
Kenya,Dominican Republic,212
Cambodia,Dominican Republic,994722
St Kitts and Nevis,Dominican Republic,1459469
South Korea,Dominican Republic,37321497
Laos,Dominican Republic,856
Lebanon,Dominican Republic,228651
Liberia,Dominican Republic,50706
Saint Lucia,Dominican Republic,5227986
Sri Lanka,Dominican Republic,7767254
Lithuania,Dominican Republic,66269
Luxembourg,Dominican Republic,334
Latvia,Dominican Republic,209537
Morocco,Dominican Republic,46498
Madagascar,Dominican Republic,14117
Mexico,Dominican Republic,24477346
Marshall Islands,Dominican Republic,13691
Malta,Dominican Republic,389524
Mongolia,Dominican Republic,4895
Mozambique,Dominican Republic,698
Montserrat,Dominican Republic,62237
Malawi,Dominican Republic,37975
Malaysia,Dominican Republic,4374849
Namibia,Dominican Republic,300
Nigeria,Dominican Republic,115223
Nicaragua,Dominican Republic,19427278
Netherlands,Dominican Republic,176987776
Norway,Dominican Republic,2616786
New Zealand,Dominican Republic,4175928
Pakistan,Dominican Republic,460912
Panama,Dominican Republic,51624227
Peru,Dominican Republic,10443110
Philippines,Dominican Republic,7082810
Poland,Dominican Republic,13939667
Portugal,Dominican Republic,2133834
Paraguay,Dominican Republic,1852562
Palestine,Dominican Republic,53594
Romania,Dominican Republic,161046
Russia,Dominican Republic,5501220
Saudi Arabia,Dominican Republic,378536
Senegal,Dominican Republic,50231
Singapore,Dominican Republic,15554293
El Salvador,Dominican Republic,9111404
Serbia,Dominican Republic,75787
Sao Tome And Principe,Dominican Republic,988771
Suriname,Dominican Republic,6931905
Slovakia,Dominican Republic,16188
Slovenia,Dominican Republic,560149
Sweden,Dominican Republic,34330643
Swaziland,Dominican Republic,8655
Turks and Caicos Isds,Dominican Republic,5759021
Chad,Dominican Republic,262
Togo,Dominican Republic,4082
Thailand,Dominican Republic,5424800
Trinidad And Tobago,Dominican Republic,28166627
Tunisia,Dominican Republic,500280
Turkey,Dominican Republic,1662745
Tanzania,Dominican Republic,40480
Uganda,Dominican Republic,52141
Ukraine,Dominican Republic,190972
United States Minor Outlying Islands,Dominican Republic,15729
Uruguay,Dominican Republic,1520318
United States,Dominican Republic,4715909981
St Vincent and the Grenadines,Dominican Republic,2439225
Venezuela,Dominican Republic,36384971
Vietnam,Dominican Republic,31114608
Samoa,Dominican Republic,24986
South Africa,Dominican Republic,17396998
Afghanistan,Algeria,91
Angola,Algeria,6933326
Albania,Algeria,8052475
United Arab Emirates,Algeria,20028665
Argentina,Algeria,44147377
Armenia,Algeria,75
Antigua and Barbuda,Algeria,1197
Australia,Algeria,175839636
Austria,Algeria,377962
Azerbaijan,Algeria,147405
Belgium,Algeria,987319127
Benin,Algeria,1317052
Burkina Faso,Algeria,21152
Bangladesh,Algeria,869958
Bulgaria,Algeria,2405984
Bahrain,Algeria,127896
Bahamas,Algeria,44528533
Bosnia And Herzegovina,Algeria,71
Belarus,Algeria,75
Brazil,Algeria,1616165310
Barbados,Algeria,47878
Canada,Algeria,1300743241
Switzerland,Algeria,92109430
China,Algeria,333398312
Ivory Coast,Algeria,8019957
Cameroon,Algeria,407353
Republic of the Congo,Algeria,52368
Colombia,Algeria,84
Cape Verde,Algeria,289450
Costa Rica,Algeria,91
Cuba,Algeria,217862466
Cyprus,Algeria,3265511
Czech Republic,Algeria,7463
Germany,Algeria,63438404
Denmark,Algeria,859566
Dominican Republic,Algeria,9565096
Ecuador,Algeria,286
Egypt,Algeria,286544884
Spain,Algeria,3879164211
Estonia,Algeria,843
Finland,Algeria,1143
France,Algeria,3424138889
Gabon,Algeria,5487
United Kingdom,Algeria,1061292522
Georgia,Algeria,668171
Ghana,Algeria,2479339
Guinea,Algeria,2323538
Gambia,Algeria,359233
Equatorial Guinea,Algeria,104366
Greece,Algeria,161448983
Guatemala,Algeria,80832
Guyana,Algeria,31208
Hong Kong,Algeria,429806
Croatia,Algeria,3737583
Hungary,Algeria,116
Indonesia,Algeria,327410539
India,Algeria,479791365
Ireland,Algeria,8826067
Iran,Algeria,2667
Iraq,Algeria,360140
Italy,Algeria,5208346000
Jamaica,Algeria,76
Jordan,Algeria,55650442
Japan,Algeria,163749378
Kenya,Algeria,3393439
Cambodia,Algeria,36620
St Kitts and Nevis,Algeria,2208485
South Korea,Algeria,234525491
Kuwait,Algeria,220861
Lebanon,Algeria,17862064
Liberia,Algeria,186781
Libya,Algeria,31053244
Sri Lanka,Algeria,8253
Lithuania,Algeria,48251
Luxembourg,Algeria,297
Morocco,Algeria,499056202
Maldives,Algeria,875
Mexico,Algeria,49518583
Mali,Algeria,998891
Malta,Algeria,56347710
Myanmar,Algeria,43
Mauritania,Algeria,38522385
Mauritius,Algeria,18605
Malaysia,Algeria,102365589
Niger,Algeria,310775
Nigeria,Algeria,8021055
Netherlands,Algeria,1470836701
Norway,Algeria,4808608
New Zealand,Algeria,76773
Oman,Algeria,26332
Pakistan,Algeria,67633
Panama,Algeria,27855
Philippines,Algeria,38161
Poland,Algeria,16249534
Portugal,Algeria,848679063
Qatar,Algeria,1750980
Romania,Algeria,62577
Russia,Algeria,8068600
Saudi Arabia,Algeria,7604700
Senegal,Algeria,7741689
Singapore,Algeria,511482426
Sierra Leone,Algeria,582447
Serbia,Algeria,336
South Sudan,Algeria,19868078
Slovakia,Algeria,195
Slovenia,Algeria,998270
Sweden,Algeria,3058457
Seychelles,Algeria,4666
Syria,Algeria,5465765
Chad,Algeria,15886
Togo,Algeria,1232070
Thailand,Algeria,150427674
Tajikistan,Algeria,17195
Trinidad And Tobago,Algeria,4198
Tunisia,Algeria,603483129
Turkey,Algeria,1344187409
Tanzania,Algeria,6303195
Ukraine,Algeria,3283563
Uruguay,Algeria,5795230
United States,Algeria,3866104442
Venezuela,Algeria,83
Vietnam,Algeria,567276
South Africa,Algeria,291242
Andorra,Ecuador,1244
American Samoa,Ecuador,77074
Benin,Ecuador,500
Djibouti,Ecuador,5100
Kiribati,Ecuador,1177055
Liberia,Ecuador,133406
Marshall Islands,Ecuador,233470
Mali,Ecuador,40631
Mauritania,Ecuador,4950
Niger,Ecuador,1
Senegal,Ecuador,2194
Turks and Caicos Isds,Ecuador,3189
Togo,Ecuador,1150717
Afghanistan,Egypt,3560776
Angola,Egypt,16864370
Albania,Egypt,10924270
United Arab Emirates,Egypt,2069450761
Argentina,Egypt,114005047
Armenia,Egypt,1926352
Antigua and Barbuda,Egypt,8915
Australia,Egypt,30620397
Austria,Egypt,16616405
Azerbaijan,Egypt,2646526
Burundi,Egypt,8810901
Belgium,Egypt,349693827
Benin,Egypt,6431520
Burkina Faso,Egypt,13399354
Bangladesh,Egypt,102229174
Bulgaria,Egypt,82013145
Bahrain,Egypt,63511234
Bahamas,Egypt,43668
Bosnia And Herzegovina,Egypt,1767657
Belarus,Egypt,11079296
Belize,Egypt,16085
Bolivia,Egypt,932759
Brazil,Egypt,184274454
Barbados,Egypt,89662
Brunei,Egypt,7529212
Botswana,Egypt,432165
Central African Republic,Egypt,74664
Canada,Egypt,758380013
Switzerland,Egypt,22547920
Chile,Egypt,7564433
China,Egypt,556922362
Ivory Coast,Egypt,46014338
Cameroon,Egypt,39177035
Congo,Egypt,16984008
Republic of the Congo,Egypt,4732082
Colombia,Egypt,7318699
Comoros,Egypt,1684618
Cape Verde,Egypt,1625076
Costa Rica,Egypt,1138804
Cuba,Egypt,6518972
Curacao,Egypt,9668
Cyprus,Egypt,49544106
Czech Republic,Egypt,35713715
Germany,Egypt,618690668
Djibouti,Egypt,45395954
Denmark,Egypt,30031736
Dominican Republic,Egypt,8542980
Algeria,Egypt,557069600
Ecuador,Egypt,4581738
Eritrea,Egypt,116667242
Spain,Egypt,1057639803
Estonia,Egypt,5056602
Ethiopia,Egypt,139740509
Finland,Egypt,25977102
France,Egypt,664635319
Gabon,Egypt,12973479
United Kingdom,Egypt,1551773873
Georgia,Egypt,82726521
Ghana,Egypt,60834371
Gibraltar,Egypt,23524307
Guinea,Egypt,12145326
Gambia,Egypt,7327567
Guinea Bissau,Egypt,7307
Greece,Egypt,716771580
Guatemala,Egypt,10197207
Hong Kong,Egypt,29737066
Honduras,Egypt,986647
Croatia,Egypt,17665334
Haiti,Egypt,2025085
Hungary,Egypt,161181279
Indonesia,Egypt,114164905
India,Egypt,1497839988
Ireland,Egypt,41659418
Iran,Egypt,6311164
Iraq,Egypt,411438159
Iceland,Egypt,1384241
Israel,Egypt,63085562
Italy,Egypt,1694141509
Jamaica,Egypt,1331918
Jordan,Egypt,890949582
Japan,Egypt,129177463
Kazakhstan,Egypt,68684201
Kenya,Egypt,348812610
Cambodia,Egypt,1570295
South Korea,Egypt,121116048
Kuwait,Egypt,276420609
Lebanon,Egypt,413786977
Liberia,Egypt,2262837
Libya,Egypt,830734732
Saint Lucia,Egypt,17193
Sri Lanka,Egypt,12590210
Lesotho,Egypt,27066
Lithuania,Egypt,16775245
Luxembourg,Egypt,1624465
Latvia,Egypt,5052006
Macau,Egypt,4073
Morocco,Egypt,585558451
Moldova,Egypt,1177654
Maldives,Egypt,3646992
Mexico,Egypt,35504104
Marshall Islands,Egypt,2925
Macedonia,Egypt,414898
Mali,Egypt,12783905
Malta,Egypt,899502292
Mongolia,Egypt,130633
Mozambique,Egypt,18540770
Mauritania,Egypt,28313484
Montserrat,Egypt,624500
Mauritius,Egypt,36563019
Malawi,Egypt,7376077
Malaysia,Egypt,113061052
Namibia,Egypt,532075
Niger,Egypt,5842532
Nigeria,Egypt,133154529
Nicaragua,Egypt,95283
Netherlands,Egypt,547204587
Norway,Egypt,12672912
Nepal,Egypt,437185
New Zealand,Egypt,4104930
Oman,Egypt,193587181
Pakistan,Egypt,250463007
Panama,Egypt,14491646
Peru,Egypt,5116390
Philippines,Egypt,10561111
Poland,Egypt,133123121
Portugal,Egypt,61735687
Paraguay,Egypt,3328103
Palestine,Egypt,153446917
Qatar,Egypt,175270
Romania,Egypt,159501250
Russia,Egypt,356616899
Rwanda,Egypt,25366241
Saudi Arabia,Egypt,1702150998
Sudan,Egypt,467600387
Senegal,Egypt,57397902
Singapore,Egypt,119991073
Solomon Islands,Egypt,7361
Sierra Leone,Egypt,5892937
El Salvador,Egypt,477110
San Marino,Egypt,39726
Somalia,Egypt,69392651
Serbia,Egypt,3588836
Sao Tome And Principe,Egypt,220975
Suriname,Egypt,272322
Slovakia,Egypt,202696403
Slovenia,Egypt,124630473
Sweden,Egypt,35570656
Swaziland,Egypt,5044061
Seychelles,Egypt,3765501
Syria,Egypt,280638114
Chad,Egypt,5191510
Togo,Egypt,57525547
Thailand,Egypt,75176890
Tajikistan,Egypt,145163
Turkmenistan,Egypt,250056
Trinidad And Tobago,Egypt,1391371
Tunisia,Egypt,739357366
Turkey,Egypt,1743455343
Tanzania,Egypt,29705881
Uganda,Egypt,75299411
Ukraine,Egypt,62709050
Uruguay,Egypt,13318710
United States,Egypt,2216687054
Uzbekistan,Egypt,1329232
St Vincent and the Grenadines,Egypt,1919
Venezuela,Egypt,2455647
Vietnam,Egypt,20774839
Yemen,Egypt,390578463
South Africa,Egypt,85990042
Zambia,Egypt,9642903
Zimbabwe,Egypt,11146058
United Arab Emirates,Eritrea,22365
Armenia,Eritrea,15217
Australia,Eritrea,1013
Switzerland,Eritrea,1004
China,Eritrea,48658
Germany,Eritrea,145451
Djibouti,Eritrea,40566
Spain,Eritrea,5947
France,Eritrea,171973
United Kingdom,Eritrea,174266
Greece,Eritrea,429817
Hong Kong,Eritrea,187405
Indonesia,Eritrea,7357
India,Eritrea,478324
Iceland,Eritrea,8845
Israel,Eritrea,143117
Italy,Eritrea,767861
Jordan,Eritrea,66723
Kenya,Eritrea,8973
Sri Lanka,Eritrea,141848
Netherlands,Eritrea,688695
Pakistan,Eritrea,167955
Russia,Eritrea,192691
Saudi Arabia,Eritrea,43978
Singapore,Eritrea,820118
Sweden,Eritrea,2214
Turkey,Eritrea,62617
Uganda,Eritrea,39374
United States,Eritrea,83119
Vietnam,Eritrea,102175
Yemen,Eritrea,133789
South Africa,Eritrea,85384
Zimbabwe,Eritrea,3646
Aruba,Spain,13872933
Afghanistan,Spain,6617032
Angola,Spain,137152547
Anguilla,Spain,92397
Albania,Spain,109644878
Andorra,Spain,1053777348
United Arab Emirates,Spain,2089994909
Argentina,Spain,949598787
Armenia,Spain,30789936
American Samoa,Spain,1356312
Antigua and Barbuda,Spain,6750015
Australia,Spain,1748923829
Austria,Spain,2636847970
Azerbaijan,Spain,77032071
Burundi,Spain,743603
Belgium,Spain,9282706615
Benin,Spain,46592249
Bonaire,Spain,14075226
Burkina Faso,Spain,57237952
Bangladesh,Spain,226177749
Bulgaria,Spain,1486671379
Bahrain,Spain,125351106
Bahamas,Spain,84530969
Bosnia And Herzegovina,Spain,73765664
Saint Barthélemy,Spain,299898
Belarus,Spain,121077079
Belize,Spain,1695462
Bermuda,Spain,7078792
Bolivia,Spain,156631148
Brazil,Spain,2909248530
Barbados,Spain,6927229
Brunei,Spain,11950413
Bhutan,Spain,132739
Botswana,Spain,6464290
Central African Republic,Spain,6915321
Canada,Spain,2270077854
Switzerland,Spain,5637140041
Chile,Spain,1789737565
China,Spain,7613577284
Ivory Coast,Spain,257478635
Cameroon,Spain,107682178
Congo,Spain,35250708
Republic of the Congo,Spain,25820453
Cook Islands,Spain,154818
Colombia,Spain,1148826230
Comoros,Spain,5025654
Cape Verde,Spain,96590401
Costa Rica,Spain,222787883
Cuba,Spain,1017006783
Curacao,Spain,14426538
Cayman Islands,Spain,8025723
Cyprus,Spain,394818121
Czech Republic,Spain,2834564607
Germany,Spain,34767304643
Djibouti,Spain,27588733
Dominica,Spain,2688556
Denmark,Spain,1978558993
Dominican Republic,Spain,676300281
Algeria,Spain,3262103464
Ecuador,Spain,693798710
Egypt,Spain,1712081549
Eritrea,Spain,5195143
Western Sahara,Spain,34077
Estonia,Spain,263779103
Ethiopia,Spain,50844842
Finland,Spain,1005878458
Fiji,Spain,6531704
Falkland Islands,Spain,1308013
France,Spain,49138802974
Faroe Islands,Spain,2064517
FS Micronesia,Spain,563288
Gabon,Spain,44758265
United Kingdom,Spain,22016845636
Georgia,Spain,85825368
Ghana,Spain,343957355
Gibraltar,Spain,1571119160
Guinea,Spain,80496532
Gambia,Spain,26344311
Guinea Bissau,Spain,10825077
Equatorial Guinea,Spain,189987003
Greece,Spain,2774876740
Grenada,Spain,4086553
Greenland,Spain,224142533
Guatemala,Spain,241795708
Guam,Spain,1944362
Guyana,Spain,3055488
Hong Kong,Spain,1021352196
Honduras,Spain,97287517
Croatia,Spain,592689228
Haiti,Spain,20213446
Hungary,Spain,2024301226
Indonesia,Spain,557454193
India,Spain,1506218293
Ireland,Spain,1856097560
Iran,Spain,252438355
Iraq,Spain,202552783
Iceland,Spain,101513658
Israel,Spain,1715912662
Italy,Spain,25988832134
Jamaica,Spain,80831686
Jordan,Spain,326556410
Japan,Spain,3050374941
Kazakhstan,Spain,127645750
Kenya,Spain,102075716
Kyrgyzstan,Spain,5820306
Cambodia,Spain,26027352
Kiribati,Spain,1180285
St Kitts and Nevis,Spain,386463
South Korea,Spain,2527271580
Kuwait,Spain,416354357
Laos,Spain,2401622
Lebanon,Spain,462803725
Liberia,Spain,30270607
Libya,Spain,468723353
Saint Lucia,Spain,2492511
Sri Lanka,Spain,84344634
Lesotho,Spain,4068390
Lithuania,Spain,460734112
Luxembourg,Spain,376151676
Latvia,Spain,292522382
Macau,Spain,18256100
Morocco,Spain,9534025050
Moldova,Spain,46534957
Madagascar,Spain,40872543
Maldives,Spain,20937997
Mexico,Spain,4809151789
Marshall Islands,Spain,4485570
Macedonia,Spain,61862440
Mali,Spain,71923744
Malta,Spain,397708092
Myanmar,Spain,24617023
Montenegro,Spain,38936551
Mongolia,Spain,8159630
Northern Mariana Islands,Spain,15570
Mozambique,Spain,40659598
Mauritania,Spain,228044666
Montserrat,Spain,20639
Mauritius,Spain,159920440
Malawi,Spain,1229163
Malaysia,Spain,681208502
Namibia,Spain,40453951
New Caledonia,Spain,38647032
Niger,Spain,12403605
Nigeria,Spain,442236278
Nicaragua,Spain,58187522
Niue,Spain,1684
Netherlands,Spain,11004431764
Norway,Spain,1307703807
Nepal,Spain,7498587
Nauru,Spain,84950
New Zealand,Spain,265678599
Oman,Spain,196462208
Pakistan,Spain,242796535
Panama,Spain,516964959
Peru,Spain,857227325
Philippines,Spain,670978862
Palau,Spain,10474
